ACS,198.29.7.70
ACS,64.124.29.40
SPIE,107.154.251.12
ASME,173.254.190.160
ASCE,65.156.0.0
APS,54.208.19.93
OSA,8.18.37.1
OSA,65.202.222.1
IOP,54.92.37.193
ABI_ProQuest,52.201.210.128
Taylor,129.41.23.177
JSTOR,204.228.64.0 
JSTOR,198.108.24.0 
JSTOR,216.27.103.128
JSTOR,38.96.188.0 
JSTOR,23.235.32.47
JSTOR,103.244.50.0 
JSTOR,43.249.72.75
JSTOR,103.245.222.224
JSTOR,104.156.80.95
JSTOR,157.52.64.127
JSTOR,151.101.0.0 
JSTOR,185.31.16.19
JSTOR,172.111.64.127
JSTOR,199.27.72.79
JSTOR,202.21.128.0
JSTOR,199.232.0.0
JSTOR,203.57.145.0
天下雜誌群知識庫七庫,175.99.86.59
PROQUEST_ARTS_HUMANITIES_FULL_TEXT,104.124.237.99
哈佛商業評論全球繁體中文版資料庫,210.64.12.236
數位化論文典藏聯盟_DDC,140.109.8.36
udn電子書,210.243.166.93
DIGITIMES,122.255.90.0
RSC,135.196.236.0
RSC,94.185.164.192
RSC,135.196.210.128
RSC,62.254.66.1
RSC,135.196.129.1
RSC,174.143.45.135